Plot,Date,ALHU,AMRO,ANHU,BLPH,BRCR,BTPI,BUSH,CALT,CASJ,CBCH,CEDW,COHA,CORA,DEJU,DOWO,FOSP,GCSP,HAWO,HETH,HOFI,HUVI,LEGO,MODO,NOFL,OCWA,OSFL,PAWR,PSFL,PUFI,PYNU,RBNU,RCKI,ROPI,RSHA,RTHA,SOSP,SPTO,STJA,SWTH,TOWA,VATH,WCSP,WETA,WIFL,WIWA,YEWA,YRWA
8. Historic I,3/30/2019,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,2,,,,,,3,,,,2,,,,,1,,
8. Historic I,4/7/2019,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,2,,,,,,,,,1,,
8. Historic I,4/24/2019,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,2,,
8. Historic I,5/12/2019,,1,1,,,,,,,2,,,,1,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,1,,
8. Historic I,5/25/2019,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,,3,,,,,,3,,,,,,,,,,,
8. Historic I,6/2/2019,,2,1,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,2,,,,,,3,,1,,,,,,,,,
8. Historic I,6/22/2019,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,,
8. Historic I,7/7/2019,,,1,,,,,,,6,,,2,,,,,,,,,,,,,,1,,,3,,,,,,3,,,,,,,,,,,
8. Historic I,7/21/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
8. Historic I,8/10/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,,,,,,,,,,,,,1,,,,
8. Historic I,8/23/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
8. Historic I,9/19/2019,,,1,,,,,,,1,,,,1,1,,,,,,,,,,,,2,,,3,,,,,,2,,,,1,,,1,,,,
8. Historic I,9/29/2019,,,1,,,,,,,3,,,2,,,,,,,,,,,,,,,,,4,,1,,,,1,,,,1,,,,,,,
8. Historic I,10/3/2019,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
8. Historic I,10/21/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
8. Historic I,11/3/2019,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,3,,,,,,1,,1,,,,,,,
8. Historic I,11/22/2019,,,,,,,,,,2,,,,,,1,,,,1,,,,,,,2,,,3,,2,,,,,,,,,,,,,,,
8. Historic I,12/20/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,
8. Historic I,12/29/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
9. Historic II,3/16/2019,,3,2,,,,,,,,,,,,,,,,,1,,,,,,,5,,,2,,2,,,,3,,1,,,,,,,,,
9. Historic II,3/30/2019,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,2,,,,,,,,,4,,1,,,,,,,2,,
9. Historic II,4/7/2019,,4,,,,,,,,5,,,2,,,,,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,2,,
9. Historic II,4/24/2019,1,3,2,,,,,,,,,,,,,,,,,3,,,,,,,4,,,,,,,1,,3,,1,,,,,,,2,,
9. Historic II,5/12/2019,1,2,,,,,,,,1,,,,1,,,,,,3,,,,,,,4,,,,,,,,,2,,,,,,,,,2,,
9. Historic II,5/25/2019,,2,1,,,,,,,,,,,2,,,,,,3,,,,,,,3,,,,,,,,,2,,,,,,,,,,,
9. Historic II,6/2/2019,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,1,,,,,,,,,,,
9. Historic II,6/22/2019,,3,,,,,,,,,,,,,,,,,,4,,,,,,,,,,2,,,,,,,,,,,,,,,4,,
9. Historic II,7/7/2019,,,,,,,,,,,,,1,,,,,,,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,
9. Historic II,7/21/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
9. Historic II,8/10/2019,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Historic II,8/23/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,
9. Historic II,9/19/2019,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,1,,2,,,,,1,3,,,,1,,,,,,,
9. Historic II,9/29/2019,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,
9. Historic II,10/3/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,
9. Historic II,10/21/2019,,1,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,5,,1,,,,,,,,,1,,,,,,
9. Historic II,11/3/2019,,,,,,,,,,,,,,,,1,,,,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,
9. Historic II,11/22/2019,,1,,,,,,,,,,,,,,3,,,2,,,,,,,,2,,,,,2,,,,1,,,,,,,,,,,
9. Historic II,12/20/2019,,,3,,,,,,,,,,,,,3,,,1,,,,,,,,3,,,,,1,,,,2,,,,,,,,,,,
9. Historic II,12/29/2019,,,,,,,,,,,,,1,,,1,,,,,,,,,,,3,,,,,1,,,,2,,,,,,,,,,,
