Plot,Date,ALHU,AMCR,AMRO,ANHU,BGGN,BHGR,BLPH,BRCR,BTPI,BUSH,CALT,CASJ,CBCH,CEDW,CORA,DEJU,DOWO,FOSP,GCKI,GCSP,GHOW,HAWO,HETH,HOFI,HOOR,HOWR,HUVI,LAZB,LEGO,LISP,MODO,NAWA,NOFL,NUWO,NWWA,OCWA,OSFL,PAWR,PISI,PSFL,PUFI,PYNU,RBNU,RBSA,RCKI,RECR,RSHA,RTHA,RU/ALHU,RUHU,SOSP,SPTO,STJA,SWTH,TOWA,VATH,WAVI,WCSP,WEFL,WETA,WIWA,WWPE,YEWA,YRWA
4. Mystery,3/5/2023,2,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,1,,,,,,,,,,,1
4. Mystery,3/26/2023,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
4. Mystery,4/6/2023,1,,,1,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,1,,,,,,,,,,1,,,
4. Mystery,4/23/2023,2,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,,1,,,,1,,,,,,2,,,
4. Mystery,7/9/2023,2,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,
4. Mystery,7/23/2023,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,2,,,,,,,,,,,,,
4. Mystery,08/06/2023,,,,2,,1,,2,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,1,,1,,,,,,,,1,,,
4. Mystery,8/27/2023,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
4. Mystery,9/10/2023,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,2,,,,,,,,,4,,,,1,,,,2,,2,,,
4. Mystery,9/24/2023,,,,1,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,
4. Mystery,10/11/2023,,,,1,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
4. Mystery,10/22/2023,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,
4. Mystery,11/5/2023,,,,1,,,,,,,,,,,,2,1,2,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,2,,,,,,,,,,,,,
4. Mystery,11/23/2023,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
4. Mystery,12/3/2023,,,,4,,,,,21,,,,,,,,,2,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,2,,,,,,3,,1,,,,,,,,,,,
5. Summit,1/19/2023,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,1,,,1,,,,,,,,,3
5. Summit,1/23/2023,,,,1,,,,,,,,,2,,,1,,,,2,,1,,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,
5. Summit,2/1/2023,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,
5. Summit,2/16/2023,1,,1,1,,,,,,,,,2,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,1,,,,,,,,,1
5. Summit,3/5/2023,1,,,2,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,2,,,,,1,,,,,,
5. Summit,3/26/2023,2,,,1,,,,,,1,,,1,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,1,,1,,,,,,,,1,,,1,,,,,,
5. Summit,4/6/2023,1,,,1,,,,,,2,1,,2,,,4,,,,,,,1,1,,,,,1,,,,,,,1,,,,,,2,,,2,,,,1,1,2,,,,2,,,1,,,,,,
5. Summit,4/23/2023,2,,1,3,,,,,,,1,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,1,,,
5. Summit,7/9/2023,1,,,1,,,,,,,1,,,,,3,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,1,,,
5. Summit,7/23/2023,,,1,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
5. Summit,08/06/2023,,,,1,,,,,,10,1,,2,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,1,2,,,
5. Summit,8/27/2023,,,1,3,2,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,3,,,,1,,3,,,
5. Summit,9/10/2023,,,3,2,,,,,,,,,1,,2,1,,,,,,,,1,,,,,1,,,,,,,,,,,,1,2,,,,,,,,,2,,1,1,1,,,,,,,,1,
5. Summit,9/24/2023,,,,4,,,,,,,,,,,,1,,1,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,1,,1,,,,1,,,1,,
5. Summit,10/11/2023,,,1,2,,,,,,,,2,,,,1,,1,,,,,1,,,,,,1,,,,1,,,,,,2,,2,,2,,,,,,,,1,1,,,1,2,,,,,,,,
5. Summit,10/22/2023,,,,,,,,,,,,,,,,5,,2,,4,,,2,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,2,,1,,1,1,,,,,,,,
5. Summit,11/5/2023,,,,2,,,,,,,,,,,,,,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,3,,,,,,2,1,,,1,2,,,,,,,,4
5. Summit,11/23/2023,,,,1,,,,,,,,1,1,,,2,,1,,,,,2,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,1,,1,,,1,,,,,,,,1
5. Summit,12/3/2023,,,,2,,,,,,,,,,,,1,,2,,,,,2,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,
6. Nike,1/19/2023,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Nike,1/23/2023,,,,2,,,1,,,,,,,,,2,1,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,2,,,,,,1,,,,,,,,,,,,,1
6. Nike,2/1/2023,,,,1,,,,,,,,,4,,,1,,,,,,,,2,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,1,,,,1,,,,,,,,,
6. Nike,2/16/2023,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Nike,3/5/2023,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,2,,,,,,,,,,,,,
6. Nike,3/26/2023,,,,1,,,,1,,1,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
6. Nike,4/6/2023,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
6. Nike,4/23/2023,2,,,,,,,,,,,,,,,3,1,,,,,,3,,,,,,,,,,,1,,3,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,
6. Nike,7/9/2023,,,2,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Nike,7/23/2023,,,,1,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
6. Nike,08/06/2023,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
6. Nike,8/27/2023,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
6. Nike,9/10/2023,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,1,,,,1,,,,,
6. Nike,9/24/2023,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
6. Nike,10/11/2023,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,2,,,1,,,,,,1,,,,2,,,,,,,,,
6. Nike,10/22/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,
6. Nike,11/5/2023,,,,,,,,,,,1,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
6. Nike,11/23/2023,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,
6. Nike,12/3/2023,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
7. Quarry,1/19/2023,,,,1,,,1,,,,,1,1,,,2,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
7. Quarry,1/23/2023,,,1,2,,,1,,,,,,2,,,1,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,2,,,,,,2,,,,2,,,,,,,,,
7. Quarry,2/1/2023,,,,1,,,1,,,,,,,,,1,,,,5,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,1
7. Quarry,2/16/2023,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,
7. Quarry,3/5/2023,1,2,2,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,
7. Quarry,3/26/2023,2,,,1,,,,,,,,,2,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,
7. Quarry,4/6/2023,1,,,1,,,,1,,,,,1,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,2,,,,,,1,,,
7. Quarry,4/23/2023,1,,,1,,,,,,2,,,,,,2,,,,,,,,2,,,,,0,,,,,,,,,1,,,,,,,,,,1,,,2,,,,,,,,,,1,,,
7. Quarry,7/9/2023,2,,1,2,,,,,,,1,,,,,,,,,,,,,2,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,1,,,
7. Quarry,7/23/2023,,,2,2,,,,,,,,,1,,,2,1,,,,,,,2,,,,,,,,,,,,,,1,,1,,1,,,,,,,1,,2,,,,,,,,,,2,,,
7. Quarry,08/06/2023,,,,1,,,,,,,,,1,,,2,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
7. Quarry,8/27/2023,,,,1,,,,1,,,,,2,,,,,,,,,,,,,1,,,2,,,,,1,,,,,,,,,,,,,,,,,1,,,,3,,,,,,2,,,
7. Quarry,9/10/2023,,,1,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,
7. Quarry,9/24/2023,,,,1,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,,,1,,,,2,,,,,,,,,1,,,,1,,,,,,,,,
7. Quarry,10/11/2023,,,,1,,,,,,,,,,,,1,,,,2,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
7. Quarry,10/22/2023,,,,1,,,,,,,,,,,,,,,,,,,,2,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,
7. Quarry,11/5/2023,,,,1,,,,,,,,,1,,,,,,,,,,1,1,,2,,,,,,,1,,,,,1,,,,,,,3,,,1,,,1,,,,1,,,,,,,,,
7. Quarry,11/23/2023,,,,2,,,1,,,,,,2,,,1,,2,,,,,,1,,1,,,2,,,,,,,,,1,,,,2,,,2,,,,,,3,,,,1,1,,,,,,,,1
7. Quarry,12/3/2023,,,,3,,,1,,,,,,1,,,2,,,,,,,,2,,2,1,,,,,,,,,,,2,,,,,,,2,,,,,,2,,,,2,,,,,,,,,1
8. Historic I,1/19/2023,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,3,,,,1,,,,,,,,,
8. Historic I,1/23/2023,,,,1,,,,,,,,,,,2,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,1,,,,,,,,,
8. Historic I,2/1/2023,,,,2,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,
8. Historic I,2/16/2023,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,
8. Historic I,3/5/2023,1,,,3,,,1,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,1,,,,,,,,,
8. Historic I,3/26/2023,1,,,2,,,,,,,,,2,,,,1,,,,,,2,4,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,
8. Historic I,4/6/2023,1,,,1,,,,,12,,,,,,,3,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,1,,,2
8. Historic I,4/23/2023,3,,,1,,,,,,,,,1,,,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,
8. Historic I,7/9/2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
8. Historic I,7/23/2023,,,1,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,3,,1,,,,,,,,,,,,,
8. Historic I,08/06/2023,,,1,1,,,,,,,,,1,,,,1,,,,,,,3,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,3,,,,,,,,,,1,,,
8. Historic I,8/27/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8. Historic I,9/10/2023,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,2,,,,1,,,,2,,1,,,
8. Historic I,9/24/2023,,,1,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,2,,,3,,,,,,,,,,,,,
8. Historic I,10/11/2023,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,
8. Historic I,10/22/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
8. Historic I,11/5/2023,,,2,2,,,1,,,,,,2,,,,,1,,,,,1,,,,,,1,,,,,,,,,1,,,,2,,,3,,,,,,2,,,,2,,,,,,,,,2
8. Historic I,11/23/2023,,,,2,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,2,,,,,,,,,,,,,
8. Historic I,12/3/2023,,,,2,,,1,,,,,,2,,,,,,,,,,1,,,,,,2,,,,,,,,,1,,,,1,,,2,,,,,,4,,,,,,,,,,,,,
9. Historic II,1/19/2023,,,,,,,,,,,,,1,,,,,2,,4,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,2,,,,,,,,,,,,,
9. Historic II,1/23/2023,,,,1,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,2,,,,,,,,,,,,,
9. Historic II,2/1/2023,,,44,1,,,,,,,,,,10,,1,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,1,,2,,,,,,,,,,,
9. Historic II,2/16/2023,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,3,,,,1,,,,,,,,,1,,2,,,,,,,,,,,
9. Historic II,3/5/2023,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
9. Historic II,3/26/2023,,,1,1,,,,,,,,,,,,1,,1,,,,,1,1,,,,,,,,,,,,,,3,,,,1,,,,,,1,,,2,,1,,,,,,,,,,,
9. Historic II,4/6/2023,1,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,1,,,,,,,,,
9. Historic II,4/23/2023,1,,1,,,,,,,,,,1,,,2,,,,,,,,1,,,,,1,,,,,,,,,2,,,,1,,,,,,,,,2,,,,,,,,,,,,,
9. Historic II,7/9/2023,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
9. Historic II,7/23/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Historic II,08/06/2023,,,,,,,,,,,,,3,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,2,,,,,,,,,,,
9. Historic II,8/27/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,1,,,,,,,,,,,
9. Historic II,9/10/2023,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
9. Historic II,9/24/2023,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,
9. Historic II,10/11/2023,,,,1,,,,,,,,,2,,,,1,2,,,,,1,,,,,,,,,,,,,,,3,,,,1,,,1,,,,,,2,,,,1,,,,,,,,,
9. Historic II,10/22/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Historic II,11/5/2023,,,1,2,,,1,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,2,,,,,,2,,,,,,,,,,,,,1
9. Historic II,11/23/2023,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,1,,,1,,,,,,,,,,,,,,,,,,,
9. Historic II,12/3/2023,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,1,,,,,,,,,,,,,
