"","Plot","1/26/2020","1/5/2020","10/18/2020","10/28/2020","11/14/2020","11/29/2020","12/16/2020","12/27/2020","2/17/2020","2/29/2020","3/21/2020","3/31/2020","4/18/2020","4/30/2020","5/13/2020","5/31/2020","6/10/2020","6/27/2020","7/3/2020","7/31/2020","8/15/2020","8/29/2020","9/20/2020","9/23/2020"
"1","1. Edgewood",2.15973161607549,1.863679987341,2.04493117484959,2.37013495488236,1.92228414538827,2.03773419478515,2.3897931169548,1.7045514452673,2.38495297690907,1.69574253416963,1.93710617582932,2.01269264380928,2.36671036284359,2.20151186598672,1.95213820941537,2.04231612444961,1.62943100016114,2.06111283257959,2.19765355941704,2.18693823878099,1.64884707167248,1.58593411319266,1.38629436111989,1.67698777432242
"2","10. Historic III",1.69574253416963,1.46806020349905,2.16815523601597,2.17618566156031,1.49417513828931,1.863679987341,1.05492016798614,1.72982013037992,1.73286795139986,1.97920451743432,1.69773359137439,1.83102048111352,1.32966134885476,1.74786809746676,1.5866263658938,1.46813993901621,1.69574253416963,1.33217904021012,1.6987829895138,0.636514168294813,1.09861228866811,1.242453324894,1.47507631105469,1.5498260458782
"3","11. Historic IV",0.950270539233235,0,2.07944154167984,1.69155916431042,1.42706104338072,1.87116041423181,0.721463686692512,1.26347949406503,1.32088834314932,1.89378823239114,2.00755630743784,2.12854900487515,1.75824285971655,1.18291364032116,1.84074872856928,1.97018144002608,1.66679610375721,1.66746193342929,1.83102048111352,0.693147180559945,1.03972077083992,1.32088834314932,1.87847781034009,1.27302833658963
"4","12. North Ridge",2.0228085294147,1.01140426470735,1.93710617582932,1.09861228866811,1.88669678465808,1.88915916375402,1.73512645696292,1.83437197028162,1.47507631105469,1.93710617582932,2.38888971472958,2.08376603748565,2.13833305950803,2.27396571641925,2.33319671428625,2.06851349735954,2.16815523601597,1.6094379124341,1.78526204366638,1.3667110520552,1.05492016798614,1.51710639706103,1.49417513828931,1.84622021932163
"5","13. Medical",1.09861228866811,1.09861228866811,1.73512645696292,0,1.74786809746676,1.09861228866811,1.03972077083992,0.636514168294813,1.38629436111989,1.5498260458782,1.66746193342929,2.02532622077007,1.83437197028162,1.74786809746676,1.5498260458782,1.6094379124341,1.49417513828931,1.56071040904141,1.73286795139986,1.32966134885476,0.636514168294813,0.848685557726417,0.693147180559945,0.991138896613094
"6","2. Fairy Gates",1.4788274396157,2.05789753192241,1.69586544507746,1.88669678465808,2.35471468782325,1.64173471218752,1.46813993901621,2.01981499249295,2.30666872540453,1.03972077083992,2.38888971472958,2.14584175259475,2.14395220064387,2.0744897329905,2.06851349735954,2.30337950519394,1.89892678933633,2.11121654581164,1.98696677023484,1.38629436111989,1.38629436111989,1.6094379124341,1.58902691517397,1.32088834314932
"7","3. East Ridge",1.32966134885476,2.45820443278557,1.863679987341,1.80951425584928,1.93280657261433,0.636514168294813,0,1.32088834314932,1.5498260458782,1.28487876782417,1.90615474653985,2.46310464379781,1.84074872856928,1.69574253416963,1.84622021932163,2.11864924706995,1.98696677023484,2.00050739178836,1.95872714187713,0,1.09861228866811,1.15374194270109,1.32966134885476,1.56071040904141
"8","4. Mystery",2.20710796774982,1.97920451743432,1.79175946922805,2.44166056533043,2.30348849521927,1.03972077083992,1.49417513828931,1.97224697942344,1.74786809746676,2.30348849521927,2.15461930986397,2.25385758960135,1.73265872019921,2.01981499249295,1.83437197028162,1.93710617582932,2.45158306052179,1.73512645696292,1.5437891850589,0,1.55711309805765,1.00424247305408,2.30348849521927,2.11864924706995
"9","5. Summit",2.37976120538932,1.73212598149027,1.83102048111352,2.24511373350432,2.24032225331131,2.10888730059393,1.58109375017182,1.93280657261433,1.63263092715435,2.17004834646016,1.7108289711353,2.27822935940908,2.48789589551723,1.82313480848503,2.39424079474254,2.01336095785507,2.36484617821426,1.95872714187713,1.67698777432242,1.71785851998072,2.28468405184105,1.64173471218752,2.25683378309026,1.89036277533887
"10","6. Nike",1.88487133357816,0.950270539233235,1.6094379124341,1.49417513828931,2.04493117484959,1.72019345921983,0.636514168294813,1.242453324894,2.18507112611091,1.6094379124341,1.90728399932138,2.39792227237822,1.89378823239114,1.81313753621031,1.56071040904141,2.11928092190985,1.48793025436354,1.73512645696292,1.63933632144323,1.09861228866811,0.950270539233235,1.2130075659799,1.49417513828931,1.83378554682005
"11","7. Quarry",1.66094743328692,1.99134641341099,1.01160091167848,1.89036277533887,1.38629436111989,0.693147180559945,1.55958115625988,1.01140426470735,1.97920451743432,1.92512119079082,1.97300140639361,2.07944154167984,1.72019345921983,1.89892678933633,1.93380999892063,2.20082764903455,1.67262544615032,1.83102048111352,1.95618746766045,1.56071040904141,1.52295506753132,1.00271826451752,1.69574253416963,1.67262544615032
"12","8. Historic I",1.07899220787758,1.67698777432242,1.83102048111352,1.71184513523391,1.84622021932163,1.67698777432242,1.55958115625988,0.693147180559945,0.562335144618808,0.636514168294813,0.693147180559945,2.10657733323212,1.33217904021012,1.89378823239114,1.76776147228933,1.88487133357816,1.49417513828931,1.09861228866811,1.73286795139986,0,1.11896886688163,0.636514168294813,1.27703425946614,1.5808185358593
"13","9. Historic II",1.14905969697062,1.88915916375402,2.17618566156031,1.98696677023484,1.63079910458564,1.09861228866811,0.950270539233235,1.8446214763655,1.25548232517875,2.11864924706995,1.67698777432242,1.07899220787758,1.01140426470735,1.55711309805765,1.76700919107457,1.96869320850494,1.55711309805765,0,1.03972077083992,0.636514168294813,1.54659868604851,0.562335144618808,1.77101636878359,1.16222554492109
