"","Plot","1/15/2022","1/30/2022","10/12/2022","10/26/2022","11/13/2022","11/23/2022","12/20/2022","12/5/2022","2/13/2022","2/20/2022","3/12/2022","3/27/2022","4/24/2022","4/9/2022","5/29/2022","5/6/2022","6/12/2022","6/4/2022","7/10/2022","7/30/2022","8/11/2022","8/31/2022","9/14/2022","9/29/2022"
"1","1. Edgewood",1.69773359137439,1.6094379124341,2.65932269770952,2.40364041061495,2.34573740386181,2.16608493924983,1.98673164880819,1.90615474653985,2.10600307271718,2.02523030014962,1.98999131007315,2.13839724634772,1.82007597536062,1.93107475086231,1.88915916375402,1.90615474653985,2.23269447718707,1.78974754705557,2.09814738913507,2.06851349735954,1.52295506753132,2.08546843531737,2.01981499249295,2.37013495488236
"2","10. Historic III",1.47507631105469,1.64173471218752,2.20478541691352,2.20515510119946,2.31109788621271,2.53936739988158,1.863679987341,1.84622021932163,1.69574253416963,0.693147180559945,1.88915916375402,1.90615474653985,1.99134641341099,2.21106887114461,1.84622021932163,1.55958115625988,1.35178399428965,1.33217904021012,1.33217904021012,1.7045514452673,1.52295506753132,1.46481638489081,1.74786809746676,2.04673853269455
"3","11. Historic IV",1.863679987341,1.32966134885476,1.74786809746676,1.56071040904141,1.09861228866811,1.90615474653985,1.33217904021012,1.33217904021012,1.73286795139986,1.32966134885476,1.33217904021012,1.62602069242075,2.10657733323212,2.13839724634772,2.0228085294147,1.33217904021012,1.69574253416963,1.88915916375402,1.73286795139986,1.50478828368119,1.09861228866811,1.03972077083992,1.27703425946614,1.79175946922805
"4","12. North Ridge",1.09861228866811,1.00424247305408,2.09827373952525,2.54003630382098,1.97224697942344,2.16395565688206,1.32966134885476,1.33217904021012,1.49417513828931,1.68076798371197,1.863679987341,2.02532622077007,2.30258509299405,1.95125950414396,1.67698777432242,1.97920451743432,1.99150936135661,1.69574253416963,2.02532622077007,1.75410533099929,1.5498260458782,1.66746193342929,1.21488965394912,2.0228085294147
"5","13. Medical",0.636514168294813,1.32088834314932,1.47507631105469,0.693147180559945,1.6094379124341,1.09861228866811,1.38629436111989,2.02532622077007,1.01140426470735,1.03972077083992,1.27703425946614,1.03972077083992,1.33217904021012,2.01981499249295,1.32088834314932,1.73512645696292,1.27703425946614,1.242453324894,1.56071040904141,1.27703425946614,1.01140426470735,1.05492016798614,1.09861228866811,1.5498260458782
"6","2. Fairy Gates",1.50478828368119,1.49417513828931,2.73633905110507,2.21481036805071,1.58902691517397,2.36938211969468,2.22002532783454,2.04319187054512,2.00393085865966,1.67159527802125,1.74949382539366,1.8446214763655,1.69574253416963,1.69574253416963,1.67262544615032,1.87116041423181,2.20082764903455,1.67698777432242,1.73286795139986,1.32966134885476,1.05492016798614,1.5498260458782,1.5498260458782,2.20559835902639
"7","3. East Ridge",1.2130075659799,0.636514168294813,1.74786809746676,1.73286795139986,0,1.33217904021012,1.32966134885476,1.79175946922805,2.00447902323164,1.55958115625988,1.84622021932163,1.73286795139986,2.00755630743784,1.84622021932163,2.06111283257959,1.33066009336289,2.10657733323212,1.71408754118701,2.09814738913507,1.49417513828931,1.72019345921983,1.90728399932138,1.56071040904141,2.33837170480357
"8","4. Mystery",1.42706104338072,1.88915916375402,2.39331212297452,2.07316927037276,1.32966134885476,2.03175921856927,1.56071040904141,1.67698777432242,2.11864924706995,1.89378823239114,1.83978958684125,2.13833305950803,2.13839724634772,2.31315367873363,1.89378823239114,2.13833305950803,1.49417513828931,1.88915916375402,1.69574253416963,1.66746193342929,1.88669678465808,1.5498260458782,2.09814738913507,2.5539429400242
"9","5. Summit",1.98505318790461,1.73265872019921,2.30461938482067,2.18732231884925,2.13839724634772,2.15516334991759,2.13839724634772,2.25748786186698,1.98653023662105,2.33837170480357,1.81848316301237,2.33837170480357,2.01981499249295,1.863679987341,2.17618566156031,1.81848316301237,1.73286795139986,2.04319187054512,1.99150936135661,1.6086574211167,1.96154989104937,1.77101636878359,1.86041901078138,2.50528999091842
"10","6. Nike",1.27703425946614,1.27703425946614,1.50659508813164,2.17004834646016,2.55779386010773,1.73286795139986,1.74786809746676,2.52321095295289,1.45831922246435,1.05492016798614,1.67698777432242,2.13833305950803,1.73512645696292,1.42706104338072,1.49417513828931,1.54030582522652,1.96869320850494,1.52295506753132,2.15973161607549,1.73512645696292,1.32966134885476,1.33217904021012,1.38629436111989,2.01981499249295
