"","Plot","01/21/2024","02/18/2024","03/04/2024","03/18/2024","04/21/2024","06/06/2024","06/19/2024","07/08/2024","07/28/2024","08/01/2024","08/25/2024","09/01/2024","09/22/2024","1/7/2024","10/20/2024","10/6/2024","11/14/2024","11/3/2024","12/1/2024","12/8/2024","2/5/2024","4/7/2024","5/19/2024","5/8/2024"
"1","1. Edgewood",2.13833305950803,2.66539415998339,2.26238625418332,2.08966804680737,2.49149372187944,2.18375402213711,2.63133752802733,2.53259116080112,2.1986289046105,2.51558339334683,2.34199425223243,2.47622064959816,2.34199425223242,1.58109375017182,2.75110228938637,2.60238077993248,2.24297322643815,1.74786809746676,2.50702643555742,2.57962467360858,2.21025357762097,2.44121452910603,1.8419963797843,2.31315367873363
"2","10. Historic III",1.98133251472398,1.69574253416963,2.42601513195981,2.04485880136326,2.35167330190463,1.49417513828931,1.88487133357816,2.14584175259475,1.58325845942048,0.950270539233235,1.80189240065887,0.796311640173813,2.00755630743784,2.04319187054512,2.60218779531926,2.14395220064387,2.43712464631452,1.76776147228933,2.0228085294147,2.44973395001248,1.74806734854609,2.33837170480357,2.11653105351784,2.24503527412618
"3","11. Historic IV",1.73286795139986,1.76776147228933,2.03175921856927,2.43079132887823,2.34393298130802,1.38629436111989,2.08376603748565,1.67262544615032,1.92739212613927,1.33217904021012,2.39470040585833,2.19722457733622,2.00755630743784,1.38629436111989,2.24503527412618,1.73286795139986,2.21106887114461,1.09861228866811,1.38629436111989,2.30666872540453,2.01981499249295,2.04673853269455,1.95354925882914,1.83437197028162
"4","12. North Ridge",1.49417513828931,2.09929279993392,1.88669678465808,1.74786809746676,2.33837170480357,1.242453324894,2.04624093073851,1.96523704938023,2.33454910921257,2.0228085294147,2.42698403071837,1.49718135801135,2.43079132887823,2.28368677567471,2.04319187054512,1.09861228866811,2.04319187054512,1.88915916375402,1.03972077083992,1.73798344858705,1.56071040904141,2.47912243650939,2.79725231846913,2.02622962299529
"5","13. Medical",1.863679987341,1.56071040904141,1.5498260458782,1.84688912326104,2.09827373952525,1.56071040904141,1.97920451743432,1.863679987341,1.38629436111989,0,0.693147180559945,1.03972077083992,1.03972077083992,1.74786809746676,1.73286795139986,1.5498260458782,1.22060726455302,1.56071040904141,1.79175946922805,1.89378823239114,1.38629436111989,1.67262544615032,1.83437197028162,1.2130075659799
"6","2. Fairy Gates",2.51641030015394,1.88915916375402,2.11864924706995,2.46283739594939,2.24595208072891,2.32218794280707,2.19922481438963,2.67011988980682,2.24595208072891,1.88669678465808,2.42547970843272,1.73798344858705,2.22002532783454,2.04319187054512,2.10657733323212,2.26352987314321,1.94591014905531,1.56071040904141,1.74786809746676,2.27830252503913,1.89036277533887,2.30666872540453,2.42698403071837,2.4410152780267
"7","3. East Ridge",1.09861228866811,2.04319187054512,2.40615957539782,2.24517158941152,2.30565733829864,2.4843668399738,2.21106887114461,2.13833305950803,1.80763165619193,2.11864924706995,1.72019345921983,2.25385758960135,2.00755630743784,1.5498260458782,1.83437197028162,0,2.52392203290018,1.03972077083992,1.33217904021012,1.09861228866811,1.09861228866811,2.13839724634772,2.08850161933547,1.09861228866811
"8","4. Mystery",1.97018144002608,2.07944154167984,1.98120755073562,1.61696987922282,2.52392203290018,2.20515510119946,2.01981499249295,2.33837170480357,1.80650716526167,2.4843668399738,2.23269447718707,1.90853528164356,2.55208529762097,1.6094379124341,2.24503527412618,2.30461938482067,2.66453161331023,1.32966134885476,1.79175946922805,2.00755630743784,1.08219553003877,2.34396044354948,1.96617551714957,2.32654325319411
"9","5. Summit",1.84622021932163,1.242453324894,2.78046636893868,2.37497696419748,2.40615957539782,1.91330365675317,2.44121452910603,2.17292709150859,1.97300140639361,2.13219224008789,2.46442531764644,2.4410152780267,2.65932269770952,2.21610224809126,2.57862917389114,2.24503527412618,2.50051139652676,2.75728186619572,2.43079132887823,2.6363914389378,1.74786809746676,2.77371797502131,2.39331212297452,2.47635401983067
"10","6. Nike",0.636514168294813,1.6094379124341,2.25385758960135,1.242453324894,2.25272833681982,2.01981499249295,2.28792064192888,2.30337950519394,1.55958115625988,2.02532622077007,2.02622962299529,2.47622064959816,1.51910943036232,2.14584175259475,2.04319187054512,1.38629436111989,2.58230634431397,2.11864924706995,2.30258509299405,2.38065614488421,1.38629436111989,2.34393298130802,1.97224697942344,2.506661812497
"11","7. Quarry",1.09861228866811,1.58109375017182,1.88669678465808,1.90615474653985,2.44973395001248,1.6987829895138,2.27396571641925,2.35125728412732,1.46481638489081,1.63649557288898,1.27703425946614,2.20559835902639,1.88915916375402,2.25385758960135,2.33937173438982,2.25385758960135,2.30348849521927,2.24503527412618,2.25385758960135,2.0514486099556,2.15353245665425,2.50191220744863,2.18732231884925,2.35125728412732
"12","8. Historic I",0.950270539233235,1.6094379124341,2.50013802636543,1.99150936135661,1.88915916375402,1.73512645696292,2.21610224809126,1.97224697942344,1.88669678465808,1.8446214763655,2.02532622077007,1.73512645696292,2.24503527412618,1.73512645696292,2.22002532783454,1.56071040904141,2.62299627608579,2.35885413889402,0.693147180559945,2.45820443278557,1.58109375017182,2.25484653037193,1.55129222884131,2.05789753192241
"13","9. Historic II",1.90615474653985,1.5498260458782,1.67262544615032,2.22002532783454,2.26238625418332,0.693147180559945,1.74786809746676,0.950270539233235,1.56071040904141,1.09861228866811,2.25385758960135,1.03972077083992,1.90615474653985,1.6094379124341,2.16395565688206,2.31315367873363,1.74786809746676,2.31315367873363,1.88669678465808,1.90728399932138,1.88915916375402,2.53259116080112,2.24297322643815,2.42601513195981
